STRUCTURE_TYPE,TYPE,the_geom,REVIS_DATE,ACCESS_HOURS,MODIFIED_DT,,
Bridge Open to Sky,,"MULTIPOLYGON (((-114.07212643078584 51.05004784490206, -114.07222374619948 51.05005041880022, -114.07243769254607 51.05005746110541, -114.07243576957724 51.05011479787225, -114.07184042212361 51.05009552545207, -114.07184393423279 51.050040689559076, -114.07212643078584 51.05004784490206",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.07212643078584 51.05004784490206, -114.07222374619948 51.05005041880022, -114.07243769254607 51.05005746110541, -114.07243576957724 51.05011479787225, -114.07184042212361 51.05009552545207, -114.07184393423279 51.050040689559076, -114.07212643078584 51.05004784490206"
Enclosed,,"MULTIPOLYGON (((-114.07320209750411 51.04849423131323, -114.07319913165982 51.04853533331142, -114.07306228554157 51.04854265116955, -114.07305322787684 51.04851182835447, -114.0730551581329 51.04851223258477, -114.07306863493679 51.048488291704736, -114.07302614729178 51.04847898781851, -114.07301584662069 51.048475748961636, -114.07295921281886 51.04847375624393, -114.07295793963968 51.048483087478125, -114.07285110963484 51.04847990882039, -114.0728536169124 51.04843812569509, -114.07297306325552 51.04844251368378, -114.07297936875725 51.04836016472926, -114.07301412286412 51.048361765670315, -114.07300910192056 51.048442896615036, -114.07315454476677 51.04844645640448, -114.07315204399981 51.0484931065713, -114.07320209750411 51.04849423131323",,,2024-05-23,,"-114.07320209750411 51.04849423131323, -114.07319913165982 51.04853533331142, -114.07306228554157 51.04854265116955, -114.07305322787684 51.04851182835447, -114.0730551581329 51.04851223258477, -114.07306863493679 51.048488291704736, -114.07302614729178 51.04847898781851, -114.07301584662069 51.048475748961636, -114.07295921281886 51.04847375624393, -114.07295793963968 51.048483087478125, -114.07285110963484 51.04847990882039, -114.0728536169124 51.04843812569509, -114.07297306325552 51.04844251368378, -114.07297936875725 51.04836016472926, -114.07301412286412 51.048361765670315, -114.07300910192056 51.048442896615036, -114.07315454476677 51.04844645640448, -114.07315204399981 51.0484931065713, -114.07320209750411 51.04849423131323"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07770452915197 51.04584534938396, -114.07771010166914 51.045812560122585, -114.07783635159142 51.04581625270149, -114.07799424339257 51.045820575789335, -114.07799143863461 51.045858165532806, -114.0779906043262 51.045858140918256, -114.07777433402669 51.04585232483578, -114.0777746821039 51.04584728046495, -114.07770452915197 51.04584534938396",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.07770452915197 51.04584534938396, -114.07771010166914 51.045812560122585, -114.07783635159142 51.04581625270149, -114.07799424339257 51.045820575789335, -114.07799143863461 51.045858165532806, -114.0779906043262 51.045858140918256, -114.07777433402669 51.04585232483578, -114.0777746821039 51.04584728046495, -114.07770452915197 51.04584534938396"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07800089544082 51.048370973352434, -114.07729754796819 51.04835158229989, -114.07729591630778 51.04837036292311, -114.07704334509998 51.04836265467622, -114.07704481947026 51.04834356491354, -114.07684351720157 51.04833798086288, -114.07671549162359 51.04833403127082, -114.07637049458604 51.048324521323, -114.07637447734906 51.04826869250229, -114.07676627440532 51.0482802932864, -114.07694707839138 51.04828522662552, -114.07803316158174 51.048315171444635, -114.07806375386453 51.04831569040034, -114.07809135156444 51.048316435193044, -114.07808702897663 51.048373348460615, -114.07800089544082 51.048370973352434",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.07800089544082 51.048370973352434, -114.07729754796819 51.04835158229989, -114.07729591630778 51.04837036292311, -114.07704334509998 51.04836265467622, -114.07704481947026 51.04834356491354, -114.07684351720157 51.04833798086288, -114.07671549162359 51.04833403127082, -114.07637049458604 51.048324521323, -114.07637447734906 51.04826869250229, -114.07676627440532 51.0482802932864, -114.07694707839138 51.04828522662552, -114.07803316158174 51.048315171444635, -114.07806375386453 51.04831569040034, -114.07809135156444 51.048316435193044, -114.07808702897663 51.048373348460615, -114.07800089544082 51.048370973352434"
Enclosed,,"MULTIPOLYGON (((-114.06443963903253 51.04419288486544, -114.06414253376046 51.04418260851378, -114.06411980641816 51.04419571363437, -114.06400667600943 51.044192085356855, -114.06401032826955 51.04414563339554, -114.06402975855785 51.044158356712394, -114.0641004093238 51.04416057261196, -114.06410285729763 51.044143644497126, -114.06427698546129 51.0441494928786, -114.06427704887847 51.04415513030661, -114.06444207398172 51.044160489911526, -114.06443963903253 51.04419288486544",,"Daily, 7am - 12 midnight",2024-05-23,,"-114.06443963903253 51.04419288486544, -114.06414253376046 51.04418260851378, -114.06411980641816 51.04419571363437, -114.06400667600943 51.044192085356855, -114.06401032826955 51.04414563339554, -114.06402975855785 51.044158356712394, -114.0641004093238 51.04416057261196, -114.06410285729763 51.044143644497126, -114.06427698546129 51.0441494928786, -114.06427704887847 51.04415513030661, -114.06444207398172 51.044160489911526, -114.06443963903253 51.04419288486544"
Bridge Open to Sky,,"MULTIPOLYGON (((-114.07229207129295 51.04905657661666, -114.07228886068376 51.04910223113712, -114.07242929738162 51.04910620575567, -114.072429286188 51.04910634420441, -114.07255645182506 51.04911011473557, -114.07261888480411 51.04911178760711, -114.07272801348282 51.049114731313864, -114.07274894857868 51.048819720361166, -114.07285452741885 51.048822151946744, -114.07285364177905 51.04883580340108, -114.07283880669793 51.04906321321138, -114.0734526685331 51.049080353630465, -114.0734529132086 51.04908446358027, -114.07344125987106 51.04927933134165, -114.07335957895741 51.04922190411542, -114.07289970843611 51.0492087818633, -114.0728812806936 51.04945790409644, -114.07295992019982 51.049514072294336, -114.07272998190031 51.049506479038946, -114.07273101211739 51.04948949230839, -114.07275235336753 51.0492042017139, -114.07243517711042 51.04919550337012, -114.07243042028209 51.049268367161005, -114.0724277934526 51.0493078390863, -114.07236048547091 51.04930617722158, -114.07236380795392 51.049259132819614, -114.07232554021289 51.04925828719872, -114.07232798601682 51.04922981521808, -114.07192950355712 51.04921846527242, -114.07192645096781 51.04924667511808, -114.07172522219055 51.049240942866525, -114.07172987258011 51.049176015301114, -114.07182729531858 51.049178173239085, -114.07182993327274 51.0491446462266, -114.07183417228269 51.04908955097402, -114.07190124330174 51.04909128970026, -114.07208398642918 51.04909604867551, -114.07228822330723 51.04910231693373, -114.07229098382957 51.04906620348983, -114.07229173755088 51.049056568732325, -114.07229207129295 51.04905657661666",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.07229207129295 51.04905657661666, -114.07228886068376 51.04910223113712, -114.07242929738162 51.04910620575567, -114.072429286188 51.04910634420441, -114.07255645182506 51.04911011473557, -114.07261888480411 51.04911178760711, -114.07272801348282 51.049114731313864, -114.07274894857868 51.048819720361166, -114.07285452741885 51.048822151946744, -114.07285364177905 51.04883580340108, -114.07283880669793 51.04906321321138, -114.0734526685331 51.049080353630465, -114.0734529132086 51.04908446358027, -114.07344125987106 51.04927933134165, -114.07335957895741 51.04922190411542, -114.07289970843611 51.0492087818633, -114.0728812806936 51.04945790409644, -114.07295992019982 51.049514072294336, -114.07272998190031 51.049506479038946, -114.07273101211739 51.04948949230839, -114.07275235336753 51.0492042017139, -114.07243517711042 51.04919550337012, -114.07243042028209 51.049268367161005, -114.0724277934526 51.0493078390863, -114.07236048547091 51.04930617722158, -114.07236380795392 51.049259132819614, -114.07232554021289 51.04925828719872, -114.07232798601682 51.04922981521808, -114.07192950355712 51.04921846527242, -114.07192645096781 51.04924667511808, -114.07172522219055 51.049240942866525, -114.07172987258011 51.049176015301114, -114.07182729531858 51.049178173239085, -114.07182993327274 51.0491446462266, -114.07183417228269 51.04908955097402, -114.07190124330174 51.04909128970026, -114.07208398642918 51.04909604867551, -114.07228822330723 51.04910231693373, -114.07229098382957 51.04906620348983, -114.07229173755088 51.049056568732325, -114.07229207129295 51.04905657661666"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07509491285929 51.0489157347663, -114.07509862178654 51.04886862351055, -114.075149468577 51.0488705505906, -114.07514644759668 51.04890649526427, -114.07517339930344 51.04890709642666, -114.07515476725096 51.049151909489744, -114.07517412892419 51.04916575919904, -114.0757660413826 51.04918143535884, -114.07578521628142 51.04916810914084, -114.07580610573235 51.049182907969076, -114.07579496849655 51.04922919431027, -114.07507221844892 51.049208110580416, -114.07509491285929 51.0489157347663",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.07509491285929 51.0489157347663, -114.07509862178654 51.04886862351055, -114.075149468577 51.0488705505906, -114.07514644759668 51.04890649526427, -114.07517339930344 51.04890709642666, -114.07515476725096 51.049151909489744, -114.07517412892419 51.04916575919904, -114.0757660413826 51.04918143535884, -114.07578521628142 51.04916810914084, -114.07580610573235 51.049182907969076, -114.07579496849655 51.04922919431027, -114.07507221844892 51.049208110580416, -114.07509491285929 51.0489157347663"
Enclosed,,"MULTIPOLYGON (((-114.07344125987106 51.04927933134165, -114.07343652759536 51.04933426065107, -114.07339383726158 51.04933260638613, -114.07337781029729 51.04932042458036, -114.07337977073536 51.049294777454975, -114.0733710882361 51.04928679553266, -114.07326236502576 51.0492835006738, -114.07325036854698 51.04928939376719, -114.07324643492522 51.04933269885067, -114.07325177509138 51.049334797302336, -114.07324981922201 51.04936338676029, -114.07321113145743 51.04936214974043, -114.0732130886757 51.04933440082179, -114.07321642125041 51.04933229693602, -114.07321968942648 51.049290253529186, -114.07320967136795 51.049281851712266, -114.07307159991582 51.04927773361602, -114.07305960407619 51.04928404740867, -114.07302158527109 51.049282809907936, -114.07299826301734 51.04929669832242, -114.07299565208574 51.04933327555821, -114.07298432566665 51.04934085018378, -114.07297579441071 51.04942998326356, -114.07298580915561 51.049436283304146, -114.07298186470423 51.049472862270406, -114.07302393264189 51.04950310530616, -114.07302328434926 51.04951529847815, -114.07295992019982 51.049514072294336, -114.0728812806936 51.04945790409644, -114.07289970843611 51.0492087818633, -114.07335957895741 51.04922190411542, -114.07344125987106 51.04927933134165",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.07344125987106 51.04927933134165, -114.07343652759536 51.04933426065107, -114.07339383726158 51.04933260638613, -114.07337781029729 51.04932042458036, -114.07337977073536 51.049294777454975, -114.0733710882361 51.04928679553266, -114.07326236502576 51.0492835006738, -114.07325036854698 51.04928939376719, -114.07324643492522 51.04933269885067, -114.07325177509138 51.049334797302336, -114.07324981922201 51.04936338676029, -114.07321113145743 51.04936214974043, -114.0732130886757 51.04933440082179, -114.07321642125041 51.04933229693602, -114.07321968942648 51.049290253529186, -114.07320967136795 51.049281851712266, -114.07307159991582 51.04927773361602, -114.07305960407619 51.04928404740867, -114.07302158527109 51.049282809907936, -114.07299826301734 51.04929669832242, -114.07299565208574 51.04933327555821, -114.07298432566665 51.04934085018378, -114.07297579441071 51.04942998326356, -114.07298580915561 51.049436283304146, -114.07298186470423 51.049472862270406, -114.07302393264189 51.04950310530616, -114.07302328434926 51.04951529847815, -114.07295992019982 51.049514072294336, -114.0728812806936 51.04945790409644, -114.07289970843611 51.0492087818633, -114.07335957895741 51.04922190411542, -114.07344125987106 51.04927933134165"
Bridge Open to Sky,,"MULTIPOLYGON (((-114.08023769706693 51.04874856868709, -114.08025656234156 51.048435613382836, -114.08029481439128 51.04843676476558, -114.08029692455311 51.0483786905643, -114.08027842655764 51.048378397619956, -114.08030101048051 51.048069352963715, -114.08035724738384 51.04807120215724, -114.08033674941575 51.04837229936896, -114.08033637253189 51.04837785438169, -114.08032845545554 51.048377635079795, -114.08032485298213 51.04843867781685, -114.08033217677689 51.048438895728786, -114.08031027678692 51.04875085347256, -114.08023769706693 51.04874856868709",,"Monday - Friday, 7am - 9pm",2024-05-23,,"-114.08023769706693 51.04874856868709, -114.08025656234156 51.048435613382836, -114.08029481439128 51.04843676476558, -114.08029692455311 51.0483786905643, -114.08027842655764 51.048378397619956, -114.08030101048051 51.048069352963715, -114.08035724738384 51.04807120215724, -114.08033674941575 51.04837229936896, -114.08033637253189 51.04837785438169, -114.08032845545554 51.048377635079795, -114.08032485298213 51.04843867781685, -114.08033217677689 51.048438895728786, -114.08031027678692 51.04875085347256, -114.08023769706693 51.04874856868709"
Bridge Enclosed,,"MULTIPOLYGON (((-113.95561954027406 51.07642372137445, -113.95556948248544 51.07645521749796, -113.95519403126943 51.07621484375903, -113.95519401672165 51.07618114591943, -113.95524362880168 51.07618116492328, -113.95561954027406 51.07642372137445",,,2024-05-23,,"-113.95561954027406 51.07642372137445, -113.95556948248544 51.07645521749796, -113.95519403126943 51.07621484375903, -113.95519401672165 51.07618114591943, -113.95524362880168 51.07618116492328, -113.95561954027406 51.07642372137445"
