STRUCTURE_TYPE,TYPE,the_geom,REVIS_DATE,ACCESS_HOURS,MODIFIED_DT,,
Enclosed,,"MULTIPOLYGON (((-114.05915543729496 51.04909586703498, -114.0591574283527 51.04906794573217, -114.05999868018658 51.04909124261476, -114.06000597257568 51.04898767990834, -114.06004953246293 51.04898851875315, -114.06006099793841 51.04882334369763, -114.05994181933566 51.048819572556624, -114.05994426093095 51.04878971012572, -114.06010808752059 51.04879445617192, -114.06011758486052 51.04879473176696, -114.06011315341244 51.0488507040911, -114.06010454389084 51.04896890815423, -114.06009028114498 51.048968277217014, -114.0600834005528 51.04906258479304, -114.06004487600947 51.0490613720985, -114.06003971036901 51.04912648824606, -114.05915505898746 51.049101178357326, -114.05915543729496 51.04909586703498",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.05915543729496 51.04909586703498, -114.0591574283527 51.04906794573217, -114.05999868018658 51.04909124261476, -114.06000597257568 51.04898767990834, -114.06004953246293 51.04898851875315, -114.06006099793841 51.04882334369763, -114.05994181933566 51.048819572556624, -114.05994426093095 51.04878971012572, -114.06010808752059 51.04879445617192, -114.06011758486052 51.04879473176696, -114.06011315341244 51.0488507040911, -114.06010454389084 51.04896890815423, -114.06009028114498 51.048968277217014, -114.0600834005528 51.04906258479304, -114.06004487600947 51.0490613720985, -114.06003971036901 51.04912648824606, -114.05915505898746 51.049101178357326, -114.05915543729496 51.04909586703498"
Enclosed,,"MULTIPOLYGON (((-114.0764285035271 51.04642886026282, -114.07687237744567 51.046440855436884, -114.07686263319057 51.046584137496566, -114.07699251003581 51.04658764700918, -114.07698945699812 51.0466325545287, -114.0767858705135 51.046627053689946, -114.07679481723811 51.04649549746924, -114.07642437116982 51.046484645151196, -114.0764285035271 51.04642886026282",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.0764285035271 51.04642886026282, -114.07687237744567 51.046440855436884, -114.07686263319057 51.046584137496566, -114.07699251003581 51.04658764700918, -114.07698945699812 51.0466325545287, -114.0767858705135 51.046627053689946, -114.07679481723811 51.04649549746924, -114.07642437116982 51.046484645151196, -114.0764285035271 51.04642886026282"
Open to Sky,,"MULTIPOLYGON (((-114.07947269772198 51.045900726589466, -114.07948307422691 51.045755018433475, -114.07951641365084 51.045755962152924, -114.07952996000618 51.04556600975794, -114.07960926729174 51.04556830028958, -114.07959149986102 51.045818076848946, -114.07955306470083 51.04581698828879, -114.07954680967892 51.04590265571278, -114.07947269772198 51.045900726589466",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.07947269772198 51.045900726589466, -114.07948307422691 51.045755018433475, -114.07951641365084 51.045755962152924, -114.07952996000618 51.04556600975794, -114.07960926729174 51.04556830028958, -114.07959149986102 51.045818076848946, -114.07955306470083 51.04581698828879, -114.07954680967892 51.04590265571278, -114.07947269772198 51.045900726589466"
Enclosed,,"MULTIPOLYGON (((-114.0798288551164 51.04739620176358, -114.07983770407606 51.047303130430244, -114.08005092846584 51.04731085869483, -114.08005650014401 51.047232939082654, -114.07996747757781 51.04723041367808, -114.07997220548432 51.04716430445594, -114.08006122792405 51.04716682985701, -114.08006471558285 51.0470870229275, -114.08094848861084 51.04711229832713, -114.08098800615186 51.04714379793913, -114.08097620508083 51.047290330641275, -114.08090387544628 51.04728786630157, -114.08091577755893 51.04713944299629, -114.08015714249294 51.04711789054589, -114.08014315589607 51.04731347892748, -114.08014150417056 51.047356308036775, -114.07990810735917 51.047348928148395, -114.07990531768394 51.04739941009081, -114.07990913897727 51.047418852265906, -114.07983041705229 51.04741629274497, -114.0798288551164 51.04739620176358",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.0798288551164 51.04739620176358, -114.07983770407606 51.047303130430244, -114.08005092846584 51.04731085869483, -114.08005650014401 51.047232939082654, -114.07996747757781 51.04723041367808, -114.07997220548432 51.04716430445594, -114.08006122792405 51.04716682985701, -114.08006471558285 51.0470870229275, -114.08094848861084 51.04711229832713, -114.08098800615186 51.04714379793913, -114.08097620508083 51.047290330641275, -114.08090387544628 51.04728786630157, -114.08091577755893 51.04713944299629, -114.08015714249294 51.04711789054589, -114.08014315589607 51.04731347892748, -114.08014150417056 51.047356308036775, -114.07990810735917 51.047348928148395, -114.07990531768394 51.04739941009081, -114.07990913897727 51.047418852265906, -114.07983041705229 51.04741629274497, -114.0798288551164 51.04739620176358"
Enclosed,,"MULTIPOLYGON (((-114.06714774850415 51.045031648873916, -114.06719084489137 51.04503297256699, -114.0671971015523 51.04494360831781, -114.0671910189553 51.04494332414321, -114.06719176546065 51.044933930340996, -114.0672671549076 51.044936110137925, -114.06735426856874 51.04493862923526, -114.06735397816165 51.04494783219332, -114.06734591760639 51.04494754916659, -114.0673401637909 51.04503731497515, -114.06751787333428 51.045041909588555, -114.06751699172322 51.04506328678596, -114.06752505073369 51.045063473611606, -114.06753332191559 51.04494673174397, -114.0675724035635 51.04494785894291, -114.0675649397488 51.04506467765831, -114.06765184792245 51.04506692875855, -114.06764782832299 51.04512504072429, -114.06775731888274 51.045128523751764, -114.06775554233973 51.04516102087108, -114.06774596168957 51.045160834943296, -114.06762506461101 51.04515687935261, -114.06762546498818 51.0451399883103, -114.06745173881416 51.04513491240889, -114.06745545969541 51.04508009805682, -114.06725229407387 51.045074154256035, -114.06714502763829 51.04507116211518, -114.06714774850415 51.045031648873916, (-114.06729986697218 51.04503612726807, -114.06730550693106 51.04494646580798, -114.06726614176613 51.04494552027561, -114.06723401395627 51.04494461012179, -114.06722787284936 51.04503395452906, -114.0672565337952 51.04503476509558, -114.0672565309834 51.04503479296538, -114.06729986697218 51.04503612726807",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.06714774850415 51.045031648873916, -114.06719084489137 51.04503297256699, -114.0671971015523 51.04494360831781, -114.0671910189553 51.04494332414321, -114.06719176546065 51.044933930340996, -114.0672671549076 51.044936110137925, -114.06735426856874 51.04493862923526, -114.06735397816165 51.04494783219332, -114.06734591760639 51.04494754916659, -114.0673401637909 51.04503731497515, -114.06751787333428 51.045041909588555, -114.06751699172322 51.04506328678596, -114.06752505073369 51.045063473611606, -114.06753332191559 51.04494673174397, -114.0675724035635 51.04494785894291, -114.0675649397488 51.04506467765831, -114.06765184792245 51.04506692875855, -114.06764782832299 51.04512504072429, -114.06775731888274 51.045128523751764, -114.06775554233973 51.04516102087108, -114.06774596168957 51.045160834943296, -114.06762506461101 51.04515687935261, -114.06762546498818 51.0451399883103, -114.06745173881416 51.04513491240889, -114.06745545969541 51.04508009805682, -114.06725229407387 51.045074154256035, -114.06714502763829 51.04507116211518, -114.06714774850415 51.045031648873916, (-114.06729986697218 51.04503612726807, -114.06730550693106 51.04494646580798, -114.06726614176613 51.04494552027561, -114.06723401395627 51.04494461012179, -114.06722787284936 51.04503395452906, -114.0672565337952 51.04503476509558, -114.0672565309834 51.04503479296538, -114.06729986697218 51.04503612726807"
Enclosed,,"MULTIPOLYGON (((-114.0675171664463 51.048085261339544, -114.0672553264332 51.04807721636245, -114.06725368337463 51.048077136400316, -114.06725368056524 51.04807716606804, -114.0672553264332 51.04807721636245, -114.0672531818907 51.04810507496908, -114.0672512146099 51.04810663222314, -114.06720313079578 51.04814366160443, -114.06713646217541 51.048095624644255, -114.06663690050094 51.048081771476056, -114.0666335656502 51.04812716341845, -114.06645231276957 51.04812226831928, -114.06643466892152 51.04834108385549, -114.06642422463695 51.04834079402936, -114.06639122309282 51.04833987694871, -114.06639123540533 51.04833951105975, -114.06638008081939 51.04833917398759, -114.06637533856588 51.04833901576458, -114.06638755619201 51.04816015187729, -114.06625579723075 51.048070488467914, -114.06562259076674 51.04805099996592, -114.06560475044107 51.04805069534037, -114.06552910218464 51.04804853349489, -114.06548514509758 51.04804662533907, -114.06548709522909 51.04801364991986, -114.06549037405073 51.047961111206135, -114.06549255147814 51.04792649862931, -114.06553766126495 51.047927732805306, -114.06554108746153 51.0478786110029, -114.06550454782474 51.04787759676877, -114.06550743174756 51.04783731577079, -114.06567529869817 51.04784205444645, -114.06567953582032 51.04778155298389, -114.06581834639778 51.047785515783, -114.06581410802868 51.0478460163523, -114.06601288692092 51.04785168105467, -114.0660104435092 51.047891533006236, -114.06561737708473 51.0478806816843, -114.06561395096868 51.047929803488906, -114.06563093767816 51.04793060392649, -114.06562688636733 51.04799245913459, -114.06654283971353 51.048017456805326, -114.06655125180835 51.04790540313077, -114.06656824445979 51.04767851785088, -114.06661858833625 51.04767997427083, -114.06660945507764 51.047814090959896, -114.0666001674899 51.04794803243333, -114.06716412871475 51.04796273335967, -114.06722012855225 51.04792737063162, -114.06725964774263 51.04796005253246, -114.06726406562127 51.04796373488018, -114.06725941816336 51.04802408291044, -114.06725978327405 51.04802409169006, -114.0675229447631 51.04803194441254, -114.0675171664463 51.048085261339544, (-114.06706654232289 51.04803198424035, -114.06706164869827 51.04801092860746, -114.06704070848903 51.04799423770314, -114.06700933440183 51.047986381590455, -114.066975932414 51.047989467131956, -114.06694945190941 51.04800266663979, -114.06693698864935 51.048022443091604, -114.06694188364352 51.048043497829916, -114.0669628238408 51.048060189650776, -114.06699419796871 51.04806804487685, -114.06702760001316 51.04806496022914, -114.06705408053104 51.048051760703736, -114.06706654232289 51.04803198424035",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.0675171664463 51.048085261339544, -114.0672553264332 51.04807721636245, -114.06725368337463 51.048077136400316, -114.06725368056524 51.04807716606804, -114.0672553264332 51.04807721636245, -114.0672531818907 51.04810507496908, -114.0672512146099 51.04810663222314, -114.06720313079578 51.04814366160443, -114.06713646217541 51.048095624644255, -114.06663690050094 51.048081771476056, -114.0666335656502 51.04812716341845, -114.06645231276957 51.04812226831928, -114.06643466892152 51.04834108385549, -114.06642422463695 51.04834079402936, -114.06639122309282 51.04833987694871, -114.06639123540533 51.04833951105975, -114.06638008081939 51.04833917398759, -114.06637533856588 51.04833901576458, -114.06638755619201 51.04816015187729, -114.06625579723075 51.048070488467914, -114.06562259076674 51.04805099996592, -114.06560475044107 51.04805069534037, -114.06552910218464 51.04804853349489, -114.06548514509758 51.04804662533907, -114.06548709522909 51.04801364991986, -114.06549037405073 51.047961111206135, -114.06549255147814 51.04792649862931, -114.06553766126495 51.047927732805306, -114.06554108746153 51.0478786110029, -114.06550454782474 51.04787759676877, -114.06550743174756 51.04783731577079, -114.06567529869817 51.04784205444645, -114.06567953582032 51.04778155298389, -114.06581834639778 51.047785515783, -114.06581410802868 51.0478460163523, -114.06601288692092 51.04785168105467, -114.0660104435092 51.047891533006236, -114.06561737708473 51.0478806816843, -114.06561395096868 51.047929803488906, -114.06563093767816 51.04793060392649, -114.06562688636733 51.04799245913459, -114.06654283971353 51.048017456805326, -114.06655125180835 51.04790540313077, -114.06656824445979 51.04767851785088, -114.06661858833625 51.04767997427083, -114.06660945507764 51.047814090959896, -114.0666001674899 51.04794803243333, -114.06716412871475 51.04796273335967, -114.06722012855225 51.04792737063162, -114.06725964774263 51.04796005253246, -114.06726406562127 51.04796373488018, -114.06725941"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06391563324081 51.044177798349956, -114.06372457461835 51.04417270930509, -114.06369077178964 51.04417906459439, -114.06303093188208 51.04416441123906, -114.063011572573 51.04413758462152, -114.06293823810093 51.044162747747166, -114.06287881178187 51.04420160819614, -114.06287762633794 51.04421816792571, -114.06274930349042 51.044215000584906, -114.06258172812345 51.044210332165115, -114.06193552560612 51.04419262049964, -114.06193199061848 51.04425478728881, -114.06192660297087 51.04432428259162, -114.06193380335284 51.044324472954635, -114.06192801131394 51.044385871416964, -114.06192223068619 51.044447283356895, -114.06192148900212 51.044457878152, -114.06184484264827 51.04445558140247, -114.06185104033898 51.04436995359749, -114.06183943765248 51.04436327946507, -114.06184441486808 51.04436350157493, -114.06184904486645 51.044294668321804, -114.06176255834536 51.044291845431715, -114.06176641136508 51.04424560918926, -114.06178280118178 51.044245795603906, -114.0617922428775 51.044137405872945, -114.06166112336538 51.04413279596347, -114.06165777374763 51.04417159023515, -114.06163952789805 51.04417082044907, -114.06163160787885 51.04426127574257, -114.06158491222459 51.0442593513819, -114.06159399222128 51.04416928203885, -114.06147470154575 51.04416564376915, -114.06146616255886 51.044256293555286, -114.06141544766322 51.0442549564723, -114.06142581006506 51.04414013323308, -114.06155661857207 51.04414357310683, -114.06156333863767 51.04408157995014, -114.06171224949654 51.04408633160433, -114.06172394337257 51.04396531370457, -114.06182389748153 51.04396864910695, -114.06181240944846 51.044088770631284, -114.06186979829796 51.04409135987537, -114.06195755957376 51.044094361805094, -114.06196582174671 51.04402998552731, -114.061936919454 51.044028380896656, -114.06193941115414 51.04400302043206, -114.061963358239 51.04400377995719, -114.06196344054742 51.04400454763696, -114.0620048843917 51.04400580669533, -114.06199255075344 51.04412454516504, -114.0620236832502 51.04414629729163, -114.06254906652796 51.044159934316035, -114.06270455076238 51.04416496706155, -114.06276820783214 51.0441289604678, -114.0628176828906 51.04409829057725, -114.06285841653236 51.04407942529354, -114.06293145220448 51.044056926037044, -114.06301237301848 51.04406011874317, -114.0630671083447 51.044116498910334, -114.06308727357813 51.04411721439814, -114.06308733599137 51.044123268951054, -114.063158534218 51.044124405457254, -114.06315853590371 51.04412564514081, -114.06316855704912 51.04412588963983, -114.0631684803993 51.04412720038463, -114.06334700328901 51.04413188360563, -114.06334700069345 51.044129980480115, -114.063596097445 51.04413593575244, -114.0636362359329 51.04412316196609, -114.06364137751216 51.044128869446325, -114.06372618184969 51.04410312697998, -114.06374433434097 51.04412938328937, -114.06375550088185 51.04412671354022, -114.06375578134359 51.04413883874198, -114.06401032826955 51.04414563339554, -114.06400623035265 51.04419776441653, -114.06409368186229 51.04420132587141, -114.06408147797546 51.04442784871034, -114.06429034778017 51.04443198615072, -114.06429441543375 51.04444371461798, -114.06429250854323 51.0444682549456, -114.06428780085632 51.044468052569144, -114.06402429077599 51.04446124365274, -114.06403494099887 51.04425779652407, -114.06391563324081 51.044177798349956",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06391563324081 51.044177798349956, -114.06372457461835 51.04417270930509, -114.06369077178964 51.04417906459439, -114.06303093188208 51.04416441123906, -114.063011572573 51.04413758462152, -114.06293823810093 51.044162747747166, -114.06287881178187 51.04420160819614, -114.06287762633794 51.04421816792571, -114.06274930349042 51.044215000584906, -114.06258172812345 51.044210332165115, -114.06193552560612 51.04419262049964, -114.06193199061848 51.04425478728881, -114.06192660297087 51.04432428259162, -114.06193380335284 51.044324472954635, -114.06192801131394 51.044385871416964, -114.06192223068619 51.044447283356895, -114.06192148900212 51.044457878152, -114.06184484264827 51.04445558140247, -114.06185104033898 51.04436995359749, -114.06183943765248 51.04436327946507, -114.06184441486808 51.04436350157493, -114.06184904486645 51.044294668321804, -114.06176255834536 51.044291845431715, -114.06176641136508 51.04424560918926, -114.06178280118178 51.044245795603906, -114.0617922428775 51.044137405872945, -114.06166112336538 51.04413279596347, -114.06165777374763 51.04417159023515, -114.06163952789805 51.04417082044907, -114.06163160787885 51.04426127574257, -114.06158491222459 51.0442593513819, -114.06159399222128 51.04416928203885, -114.06147470154575 51.04416564376915, -114.06146616255886 51.044256293555286, -114.06141544766322 51.0442549564723, -114.06142581006506 51.04414013323308, -114.06155661857207 51.04414357310683, -114.06156333863767 51.04408157995014, -114.06171224949654 51.04408633160433, -114.06172394337257 51.04396531370457, -114.06182389748153 51.04396864910695, -114.06181240944846 51.044088770631284, -114.06186979829796 51.04409135987537, -114.06195755957376 51.044094361805094, -114.06196582174671 51.04402998552731, -114.061936919454 51.044028380896656, -114.06193941115414 51.04400302043206, -114.061963358239 51.04400377995719, -114.06196344054742 51.04400454763696, -114.0620048843917 51.04400580669533, -114.06199255075344 51.04412454516504, -114.062"
Open to Sky,,"MULTIPOLYGON (((-114.06001064543939 51.04694416645836, -114.06001411359019 51.04689986688073, -114.06025035617319 51.046906438194746, -114.06025021548459 51.04690792157283, -114.06024804317447 51.04693846080775, -114.06024725469737 51.046950687247886, -114.0600109050043 51.04694417351688, -114.06001064543939 51.04694416645836",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.06001064543939 51.04694416645836, -114.06001411359019 51.04689986688073, -114.06025035617319 51.046906438194746, -114.06025021548459 51.04690792157283, -114.06024804317447 51.04693846080775, -114.06024725469737 51.046950687247886, -114.0600109050043 51.04694417351688, -114.06001064543939 51.04694416645836"
Enclosed,,"MULTIPOLYGON (((-114.0732185209354 51.05114251900023, -114.07321600074586 51.0511832323448, -114.07248609914024 51.05116333183828, -114.07245029206419 51.05117012689704, -114.0724150208416 51.051144648501534, -114.07235942648838 51.05111524967386, -114.07231418261192 51.051095042702755, -114.07226823618346 51.05107885725232, -114.0722257625103 51.05106711955171, -114.07218988139464 51.05105837583735, -114.07216498570034 51.051053545749035, -114.07214082382582 51.05104917817331, -114.07211446838113 51.05104573429174, -114.07208774603967 51.05104298194036, -114.07205699952603 51.051040694135594, -114.07203137684539 51.05103978758288, -114.07201181442586 51.05103986256483, -114.07196476680274 51.05104005874991, -114.07191622613736 51.05104317839423, -114.07183742469164 51.05105559311752, -114.07181766891398 51.05105975761162, -114.07180516498843 51.05106441567833, -114.0716844498368 51.05106191601603, -114.07168495803292 51.05101970714871, -114.07178959881412 51.051022899903415, -114.07183221554729 51.05101473172708, -114.07186114359666 51.051009672507924, -114.07188639185567 51.051006426974354, -114.07191054296739 51.05100387431915, -114.07194070623319 51.051001637992925, -114.07196580317054 51.051000150026546, -114.07196508222701 51.051007070760605, -114.07209056699419 51.05100887318466, -114.07209184906772 51.05100235843932, -114.07214611515968 51.05100965338031, -114.07217883394748 51.05101455145879, -114.07220943021207 51.05102019878449, -114.0722662908545 51.05103400602138, -114.07230185515515 51.051044465147775, -114.0723450648218 51.0510598944452, -114.07240847371108 51.0510884703743, -114.07242958117736 51.05080700878658, -114.07240432623024 51.05080587105177, -114.07240952682379 51.050739413983536, -114.07255232554698 51.05074305347211, -114.07254634287166 51.050813626528274, -114.07251009692189 51.050813199533046, -114.07248861996868 51.051122618509055, -114.0732185209354 51.05114251900023",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.0732185209354 51.05114251900023, -114.07321600074586 51.0511832323448, -114.07248609914024 51.05116333183828, -114.07245029206419 51.05117012689704, -114.0724150208416 51.051144648501534, -114.07235942648838 51.05111524967386, -114.07231418261192 51.051095042702755, -114.07226823618346 51.05107885725232, -114.0722257625103 51.05106711955171, -114.07218988139464 51.05105837583735, -114.07216498570034 51.051053545749035, -114.07214082382582 51.05104917817331, -114.07211446838113 51.05104573429174, -114.07208774603967 51.05104298194036, -114.07205699952603 51.051040694135594, -114.07203137684539 51.05103978758288, -114.07201181442586 51.05103986256483, -114.07196476680274 51.05104005874991, -114.07191622613736 51.05104317839423, -114.07183742469164 51.05105559311752, -114.07181766891398 51.05105975761162, -114.07180516498843 51.05106441567833, -114.0716844498368 51.05106191601603, -114.07168495803292 51.05101970714871, -114.07178959881412 51.051022899903415, -114.07183221554729 51.05101473172708, -114.07186114359666 51.051009672507924, -114.07188639185567 51.051006426974354, -114.07191054296739 51.05100387431915, -114.07194070623319 51.051001637992925, -114.07196580317054 51.051000150026546, -114.07196508222701 51.051007070760605, -114.07209056699419 51.05100887318466, -114.07209184906772 51.05100235843932, -114.07214611515968 51.05100965338031, -114.07217883394748 51.05101455145879, -114.07220943021207 51.05102019878449, -114.0722662908545 51.05103400602138, -114.07230185515515 51.051044465147775, -114.0723450648218 51.0510598944452, -114.07240847371108 51.0510884703743, -114.07242958117736 51.05080700878658, -114.07240432623024 51.05080587105177, -114.07240952682379 51.050739413983536, -114.07255232554698 51.05074305347211, -114.07254634287166 51.050813626528274, -114.07251009692189 51.050813199533046, -114.07248861996868 51.051122618509055, -114.0732185209354 51.05114251900023"
Bridge Enclosed,,"MULTIPOLYGON (((-114.06946325699299 51.04586947288918, -114.06946521764769 51.045837853935105, -114.06944385378281 51.045837229258254, -114.06944945991403 51.04577056615987, -114.06946009761616 51.04577087447916, -114.06946415593764 51.0457182012225, -114.06945330284047 51.04571784808291, -114.06945713592944 51.045658557617394, -114.06944198147775 51.045651342472674, -114.06943901309532 51.04564992925225, -114.06914129107568 51.04564141717428, -114.06914254911527 51.0456243269476, -114.06919887492072 51.04562591715925, -114.06935620355979 51.04563035742922, -114.06970811342184 51.04564028849619, -114.0697074243394 51.04565625467298, -114.06966431418692 51.04565569514437, -114.0696507820513 51.04566618523785, -114.06964644683715 51.045722364662325, -114.06963285272138 51.045721968224015, -114.06962892795033 51.0457770326759, -114.06964219693283 51.04577742930841, -114.06963481767212 51.04587306738086, -114.06960319996267 51.045872321187524, -114.06953666714813 51.04589732527699, -114.06947607392786 51.04586986980919, -114.06946325699299 51.04586947288918",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06946325699299 51.04586947288918, -114.06946521764769 51.045837853935105, -114.06944385378281 51.045837229258254, -114.06944945991403 51.04577056615987, -114.06946009761616 51.04577087447916, -114.06946415593764 51.0457182012225, -114.06945330284047 51.04571784808291, -114.06945713592944 51.045658557617394, -114.06944198147775 51.045651342472674, -114.06943901309532 51.04564992925225, -114.06914129107568 51.04564141717428, -114.06914254911527 51.0456243269476, -114.06919887492072 51.04562591715925, -114.06935620355979 51.04563035742922, -114.06970811342184 51.04564028849619, -114.0697074243394 51.04565625467298, -114.06966431418692 51.04565569514437, -114.0696507820513 51.04566618523785, -114.06964644683715 51.045722364662325, -114.06963285272138 51.045721968224015, -114.06962892795033 51.0457770326759, -114.06964219693283 51.04577742930841, -114.06963481767212 51.04587306738086, -114.06960319996267 51.045872321187524, -114.06953666714813 51.04589732527699, -114.06947607392786 51.04586986980919, -114.06946325699299 51.04586947288918"
Enclosed,,"MULTIPOLYGON (((-114.08083464983085 51.04582323333072, -114.08083539597196 51.04579554263837, -114.08086566781927 51.045795608898565, -114.08087276034743 51.04569600943248, -114.08084275303554 51.0456954935045, -114.08084337062736 51.04567260701395, -114.08108407830026 51.045679417205974, -114.08107896420758 51.045751233440996, -114.08103554034585 51.0457500049931, -114.0810359885775 51.04574371726283, -114.08106199468726 51.04574445346787, -114.08106367341433 51.04572088122268, -114.08098400362992 51.04571862609004, -114.08097947124391 51.045782273845475, -114.08103313500513 51.04578379277549, -114.08103170818653 51.04580381300171, -114.08097800264918 51.045802884725475, -114.08097618747726 51.04582838356345, -114.08083464983085 51.04582323333072",,"Monday - Friday, 7am - 9pm",2024-05-22,,"-114.08083464983085 51.04582323333072, -114.08083539597196 51.04579554263837, -114.08086566781927 51.045795608898565, -114.08087276034743 51.04569600943248, -114.08084275303554 51.0456954935045, -114.08084337062736 51.04567260701395, -114.08108407830026 51.045679417205974, -114.08107896420758 51.045751233440996, -114.08103554034585 51.0457500049931, -114.0810359885775 51.04574371726283, -114.08106199468726 51.04574445346787, -114.08106367341433 51.04572088122268, -114.08098400362992 51.04571862609004, -114.08097947124391 51.045782273845475, -114.08103313500513 51.04578379277549, -114.08103170818653 51.04580381300171, -114.08097800264918 51.045802884725475, -114.08097618747726 51.04582838356345, -114.08083464983085 51.04582323333072"
Enclosed,,"MULTIPOLYGON (((-114.06970811342184 51.04564028849619, -114.06935620355979 51.04563035742922, -114.06920193278658 51.04556201003327, -114.06919887492072 51.04562591715925, -114.06914254911527 51.0456243269476, -114.06888733823054 51.045617179778475, -114.06888739224664 51.0456161000797, -114.06890684647603 51.04520436421849, -114.06825131412504 51.04518286154731, -114.06825131411843 51.04518285705244, -114.06812198127423 51.04517861383615, -114.06812198128083 51.04517861833101, -114.06811860274344 51.045178507928426, -114.06811907242236 51.045172042238235, -114.06812878432402 51.045172261320936, -114.06813127822076 51.04513802336537, -114.06891093853692 51.04516346840632, -114.06892470971441 51.044871994232864, -114.06892954147129 51.044872156794554, -114.06902000143114 51.044875196778335, -114.06913662534879 51.04487911929297, -114.06912596994836 51.045022964936365, -114.06917227682962 51.04502452872285, -114.06917248641574 51.045021624914725, -114.06923897164224 51.045023761962625, -114.06922346709618 51.04524459406825, -114.06982698714229 51.04526119509913, -114.06982985945206 51.04523096630272, -114.06977342114025 51.04519215177305, -114.06977618440558 51.04515576597403, -114.06990626002951 51.045159813636374, -114.07006313672228 51.04516344414909, -114.07006392907547 51.04515268386174, -114.07033109875036 51.045160267157165, -114.07033046201713 51.045169220416184, -114.07032719427455 51.04521497203644, -114.0703259205503 51.04523271044639, -114.06990125911328 51.04521973050572, -114.06989384519181 51.04531750997909, -114.06988231012122 51.04547802047569, -114.06987696729121 51.0455420027025, -114.06971774135965 51.04564055424354, -114.06970811342184 51.04564028849619, (-114.06912555863336 51.04538571082214, -114.06902582858403 51.04538297395529, -114.06901650450096 51.04551805380004, -114.06911623483846 51.0455207897757, -114.06912555863336 51.04538571082214, (-114.0691299852907 51.04532158083948, -114.0691447253726 51.04510803717875, -114.06904499591839 51.04510530032791, -114.06903025538014 51.04531884487529, -114.0691299852907 51.04532158083948, (-114.069828331009 51.045302315135636, -114.069188241895 51.04528409064362, -114.06918562309555 51.04532203785902, -114.06962200785027 51.04559676927927, -114.06970013949876 51.045598993518986, -114.06981633534453 51.04552560929934, -114.069828331009 51.045302315135636",,"Daily, 7am - 12 midnight",2024-05-22,,"-114.06970811342184 51.04564028849619, -114.06935620355979 51.04563035742922, -114.06920193278658 51.04556201003327, -114.06919887492072 51.04562591715925, -114.06914254911527 51.0456243269476, -114.06888733823054 51.045617179778475, -114.06888739224664 51.0456161000797, -114.06890684647603 51.04520436421849, -114.06825131412504 51.04518286154731, -114.06825131411843 51.04518285705244, -114.06812198127423 51.04517861383615, -114.06812198128083 51.04517861833101, -114.06811860274344 51.045178507928426, -114.06811907242236 51.045172042238235, -114.06812878432402 51.045172261320936, -114.06813127822076 51.04513802336537, -114.06891093853692 51.04516346840632, -114.06892470971441 51.044871994232864, -114.06892954147129 51.044872156794554, -114.06902000143114 51.044875196778335, -114.06913662534879 51.04487911929297, -114.06912596994836 51.045022964936365, -114.06917227682962 51.04502452872285, -114.06917248641574 51.045021624914725, -114.06923897164224 51.045023761962625, -114.06922346709618 51.04524459406825, -114.06982698714229 51.04526119509913, -114.06982985945206 51.04523096630272, -114.06977342114025 51.04519215177305, -114.06977618440558 51.04515576597403, -114.06990626002951 51.045159813636374, -114.07006313672228 51.04516344414909, -114.07006392907547 51.04515268386174, -114.07033109875036 51.045160267157165, -114.07033046201713 51.045169220416184, -114.07032719427455 51.04521497203644, -114.0703259205503 51.04523271044639, -114.06990125911328 51.04521973050572, -114.06989384519181 51.04531750997909, -114.06988231012122 51.04547802047569, -114.06987696729121 51.0455420027025, -114.06971774135965 51.04564055424354, -114.06970811342184 51.04564028849619, (-114.06912555863336 51.04538571082214, -114.06902582858403 51.04538297395529, -114.06901650450096 51.04551805380004, -114.06911623483846 51.0455207897757, -114.06912555863336 51.04538571082214, (-114.0691299852907 51.04532158083948, -114.0691447253726 51.04510803717875, -114.06904499591839 51.04510530032791, -"
Bridge Enclosed,,"MULTIPOLYGON (((-114.07003384630076 51.04419387029039, -114.07000659016289 51.04401497380392, -114.06973011799774 51.04363792076986, -114.06980120720588 51.0436399657528, -114.07006230647944 51.044000443570745, -114.07009778809031 51.044196238511056, -114.07003384630076 51.04419387029039",,Removed - edit test,2024-05-22,,"-114.07003384630076 51.04419387029039, -114.07000659016289 51.04401497380392, -114.06973011799774 51.04363792076986, -114.06980120720588 51.0436399657528, -114.07006230647944 51.044000443570745, -114.07009778809031 51.044196238511056, -114.07003384630076 51.04419387029039"
